"ParentContainer";"ParentContainerDN";"Xylem-TimeZone";"SiteCode";"Country"
"world.fluidtechnology.net/_GlobalServers/CitrixServers/CACAL3/Citrix Cloud/2019/Base-Apps";"OU=Base-Apps,OU=2019,OU=Citrix Cloud,OU=CACAL3,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/CACAL3/Citrix Cloud/2019/DynamicsAX";"OU=DynamicsAX,OU=2019,OU=Citrix Cloud,OU=CACAL3,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/CACAL3/Citrix Cloud/2019/Pure-Apps";"OU=Pure-Apps,OU=2019,OU=Citrix Cloud,OU=CACAL3,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/CNSHA1/Citrix Cloud/Xenapp";"OU=Xenapp,OU=Citrix Cloud,OU=CNSHA1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/CNSHA1/Citrix_Infrastructure";"OU=Citrix_Infrastructure,OU=CNSHA1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/DEHRD1/CitrixCloud/2022";"OU=2022,OU=CitrixCloud,OU=DEHRD1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/DEWLH1/CitrixCloud/2022";"OU=2022,OU=CitrixCloud,OU=DEWLH1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/DKGLS1/CitrixCloud/2022";"OU=2022,OU=CitrixCloud,OU=DKGLS1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/ITMMG1/Citrix";"OU=Citrix,OU=ITMMG1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/ITMMG1/CitrixCloud/2022";"OU=2022,OU=CitrixCloud,OU=ITMMG1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/NOBGO1/CitrixCloud/2022";"OU=2022,OU=CitrixCloud,OU=NOBGO1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/External";"OU=External,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/Internal/2012";"OU=2012,OU=Internal,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/Internal/2019";"OU=2019,OU=Internal,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/Internal/2022";"OU=2022,OU=Internal,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/Internal/2022/iScala 2023 - 1";"OU=iScala 2023 - 1,OU=2022,OU=Internal,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/Internal/2022/iScala 2024 - 1";"OU=iScala 2024 - 1,OU=2022,OU=Internal,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/Internal/2022/iScala 2024 - 2";"OU=iScala 2024 - 2,OU=2022,OU=Internal,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/Internal/2022/Quote";"OU=Quote,OU=2022,OU=Internal,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/Internal/SharedDesktops";"OU=SharedDesktops,OU=Internal,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/Internal/Test-OU";"OU=Test-OU,OU=Internal,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/Internal/Win10";"OU=Win10,OU=Internal,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/CitrixCloud/Internal/Win10vGPU";"OU=Win10vGPU,OU=Internal,OU=CitrixCloud,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/XA/Prod";"OU=Prod,OU=XA,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/XA/Prod/2012R2";"OU=2012R2,OU=Prod,OU=XA,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/SEEMM1/XA/Prod/FixedRegionalSettings";"OU=FixedRegionalSettings,OU=Prod,OU=XA,OU=SEEMM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/UKAXM1/CitrixCloud/2022";"OU=2022,OU=CitrixCloud,OU=UKAXM1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/USSGV1";"OU=USSGV1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers";"OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers/ActiveRoles";"OU=ActiveRoles,OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers/CyberArkPAS";"OU=CyberArkPAS,OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers/CyberArkPAS/CPMServers_v12";"OU=CPMServers_v12,OU=CyberArkPAS,OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers/CyberArkPAS/CyberArkPAS_Test/PSMTestServers";"OU=PSMTestServers,OU=CyberArkPAS_Test,OU=CyberArkPAS,OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers/CyberArkPAS/CyberArkPAS_Test/PVWA_CPMTestServers";"OU=PVWA_CPMTestServers,OU=CyberArkPAS_Test,OU=CyberArkPAS,OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers/CyberArkPAS/PSMServers_v12";"OU=PSMServers_v12,OU=CyberArkPAS,OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers/CyberArkPAS/PVWAServers_v12";"OU=PVWAServers_v12,OU=CyberArkPAS,OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers/Jump";"OU=Jump,OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers/OIM";"OU=OIM,OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers/PingFederate";"OU=PingFederate,OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/DSServers/Quest ODM";"OU=Quest ODM,OU=DSServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/ExchangeServers/Exchange2013";"OU=Exchange2013,OU=ExchangeServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/ExchangeServers/Exchange2019";"OU=Exchange2019,OU=ExchangeServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/OtherServers";"OU=OtherServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/UIPathServers";"OU=UIPathServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/Domain Controllers";"OU=Domain Controllers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/UndefinedComputers";"OU=UndefinedComputers,DC=world,DC=fluidtechnology,DC=net";;;
"WT001.NET/Azure/Development/Servers";"OU=Servers,OU=Development,OU=Azure,DC=WT001,DC=NET";;"Development";
"WT001.NET/Azure/Production/Servers";"OU=Servers,OU=Production,OU=Azure,DC=WT001,DC=NET";;"Production";
"WT001.NET/Azure/QA/Servers";"OU=Servers,OU=QA,OU=Azure,DC=WT001,DC=NET";;"QA";
"WT001.NET/Computers";"CN=Computers,DC=WT001,DC=NET";;;
"WT001.NET/CriticalApplications/Admin";"OU=Admin,OU=CriticalApplications,DC=WT001,DC=NET";;;
"WT001.NET/CriticalApplications/OneStream/Servers";"OU=Servers,OU=OneStream,OU=CriticalApplications,DC=WT001,DC=NET";;"OneStream";
"WT001.NET/DataCenter/_DisabledServers/Pending-Scrub-Review";"OU=Pending-Scrub-Review,OU=_DisabledServers,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Development/Servers";"OU=Servers,OU=Development,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"Development";
"WT001.NET/DataCenter/CoreDataCenter/Development/Servers/OneSteam";"OU=OneSteam,OU=Servers,OU=Development,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Development/Servers/SAP";"OU=SAP,OU=Servers,OU=Development,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Development/Servers/Test_WDATP";"OU=Test_WDATP,OU=Servers,OU=Development,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Development/Servers/WinShuttle Evolve";"OU=WinShuttle Evolve,OU=Servers,OU=Development,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Production";"OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Production/ActiveDirectory/Servers";"OU=Servers,OU=ActiveDirectory,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"ActiveDirectory";
"WT001.NET/DataCenter/CoreDataCenter/Production/AzureSiteRecovery";"OU=AzureSiteRecovery,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Production/Bartender";"OU=Bartender,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Production/Celonis";"OU=Celonis,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Production/DCApp/Servers";"OU=Servers,OU=DCApp,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"DCApp";
"WT001.NET/DataCenter/CoreDataCenter/Production/DFS/Servers";"OU=Servers,OU=DFS,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"DFS";
"WT001.NET/DataCenter/CoreDataCenter/Production/DHCP";"OU=DHCP,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Production/DuoAuthenticationProxy/Servers";"OU=Servers,OU=DuoAuthenticationProxy,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"DuoAuthenticationProxy";
"WT001.NET/DataCenter/CoreDataCenter/Production/EnableNow";"OU=EnableNow,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Production/Engineering";"OU=Engineering,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Production/Enviroware/Servers";"OU=Servers,OU=Enviroware,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"Enviroware";
"WT001.NET/DataCenter/CoreDataCenter/Production/FS/Servers";"OU=Servers,OU=FS,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"FS";
"WT001.NET/DataCenter/CoreDataCenter/Production/LABCOA/Servers";"OU=Servers,OU=LABCOA,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"LABCOA";
"WT001.NET/DataCenter/CoreDataCenter/Production/LabWare";"OU=LabWare,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Production/LicenseServices/Servers";"OU=Servers,OU=LicenseServices,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"LicenseServices";
"WT001.NET/DataCenter/CoreDataCenter/Production/mCompanion/Servers";"OU=Servers,OU=mCompanion,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"mCompanion";
"WT001.NET/DataCenter/CoreDataCenter/Production/MiscApps/Servers";"OU=Servers,OU=MiscApps,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"MiscApps";
"WT001.NET/DataCenter/CoreDataCenter/Production/NeptuneBenson/Servers";"OU=Servers,OU=NeptuneBenson,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"NeptuneBenson";
"WT001.NET/DataCenter/CoreDataCenter/Production/NetApp/Servers";"OU=Servers,OU=NetApp,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"NetApp";
"WT001.NET/DataCenter/CoreDataCenter/Production/Paymetric/Servers";"OU=Servers,OU=Paymetric,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"Paymetric";
"WT001.NET/DataCenter/CoreDataCenter/Production/PKI/Servers";"OU=Servers,OU=PKI,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"PKI";
"WT001.NET/DataCenter/CoreDataCenter/Production/QlikGateway/Servers";"OU=Servers,OU=QlikGateway,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"QlikGateway";
"WT001.NET/DataCenter/CoreDataCenter/Production/Qlikview/Servers";"OU=Servers,OU=Qlikview,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"Qlikview";
"WT001.NET/DataCenter/CoreDataCenter/Production/RDS/Servers";"OU=Servers,OU=RDS,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"RDS";
"WT001.NET/DataCenter/CoreDataCenter/Production/SAP";"OU=SAP,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Production/Servers";"OU=Servers,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"Production";
"WT001.NET/DataCenter/CoreDataCenter/Production/SolarWinds/Servers";"OU=Servers,OU=SolarWinds,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"SolarWinds";
"WT001.NET/DataCenter/CoreDataCenter/Production/SQLB/Servers";"OU=Servers,OU=SQLB,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"SQLB";
"WT001.NET/DataCenter/CoreDataCenter/Production/Veeam";"OU=Veeam,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/CoreDataCenter/Production/VisualPlanningBoard/Servers";"OU=Servers,OU=VisualPlanningBoard,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"VisualPlanningBoard";
"WT001.NET/DataCenter/CoreDataCenter/Production/Winshuttle/Servers";"OU=Servers,OU=Winshuttle,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"Winshuttle";
"WT001.NET/DataCenter/CoreDataCenter/Production/WSUS/Servers";"OU=Servers,OU=WSUS,OU=Production,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"WSUS";
"WT001.NET/DataCenter/CoreDataCenter/QA/Servers";"OU=Servers,OU=QA,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;"QA";
"WT001.NET/DataCenter/CoreDataCenter/QA/Servers/Winshuttle Evolve";"OU=Winshuttle Evolve,OU=Servers,OU=QA,OU=CoreDataCenter,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/ROW/Servers";"OU=Servers,OU=ROW,OU=DataCenter,DC=WT001,DC=NET";;"ROW";
"WT001.NET/DataCenter/Servers";"OU=Servers,OU=DataCenter,DC=WT001,DC=NET";;"DataCenter";
"WT001.NET/DataCenter/Servers/MGMT";"OU=MGMT,OU=Servers,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/DataCenter/Servers/TestGPO";"OU=TestGPO,OU=Servers,OU=DataCenter,DC=WT001,DC=NET";;;
"WT001.NET/Domain Controllers";"OU=Domain Controllers,DC=WT001,DC=NET";;;
