"ParentContainer";"ParentContainerDN";"Xylem-TimeZone";"SiteCode";"Country"
"world.fluidtechnology.net/_AccountObjects/CACAL3/Servers";"OU=Servers,OU=CACAL3,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-7";"CACAL3";"Canada"
"world.fluidtechnology.net/_AccountObjects/CAMTL1/Servers";"OU=Servers,OU=CAMTL1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"CAMTL1";"Canada"
"world.fluidtechnology.net/_AccountObjects/CHSCH1/Servers";"OU=Servers,OU=CHSCH1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"CHSCH1";"Switzerland"
"world.fluidtechnology.net/_AccountObjects/CLSCL1/Servers";"OU=Servers,OU=CLSCL1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-3";"CLSCL1";"Chile"
"world.fluidtechnology.net/_AccountObjects/CNNKG1/Servers";"OU=Servers,OU=CNNKG1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+8";"CNNKG1";"China"
"world.fluidtechnology.net/_AccountObjects/CNSHA1/Servers";"OU=Servers,OU=CNSHA1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+8";"CNSHA1";"China"
"world.fluidtechnology.net/_AccountObjects/CNSHE1/Servers";"OU=Servers,OU=CNSHE1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+8";"CNSHE1";"China"
"world.fluidtechnology.net/_AccountObjects/COBOG1/Servers";"OU=Servers,OU=COBOG1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-3";"COBOG1";"Colombia"
"world.fluidtechnology.net/_AccountObjects/DEBRE1/Servers";"OU=Servers,OU=DEBRE1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"DEBRE1";"Germany"
"world.fluidtechnology.net/_AccountObjects/DEGHI1/Servers";"OU=Servers,OU=DEGHI1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"DEGHI1";"Germany"
"world.fluidtechnology.net/_AccountObjects/DEGUG1/Servers";"OU=Servers,OU=DEGUG1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"DEGUG1";"Germany"
"world.fluidtechnology.net/_AccountObjects/DEHRD1/Servers";"OU=Servers,OU=DEHRD1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"DEHRD1";"Germany"
"world.fluidtechnology.net/_AccountObjects/DEHRD1/Servers/Citrix-XA/Restricted Servers";"OU=Restricted Servers,OU=Citrix-XA,OU=Servers,OU=DEHRD1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_AccountObjects/DEING1/Servers";"OU=Servers,OU=DEING1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"DEING1";"Germany"
"world.fluidtechnology.net/_AccountObjects/DELAZ1/Servers";"OU=Servers,OU=DELAZ1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"DELAZ1";"Germany"
"world.fluidtechnology.net/_AccountObjects/DELHN1/Servers";"OU=Servers,OU=DELHN1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"DELHN1";"Germany"
"world.fluidtechnology.net/_AccountObjects/DELUH1/Servers";"OU=Servers,OU=DELUH1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"DELUH1";"Germany"
"world.fluidtechnology.net/_AccountObjects/DEMAI1/Servers";"OU=Servers,OU=DEMAI1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"DEMAI1";"Germany"
